Major_Category_en,Sub_Category_en,Major_Category_ja,Sub_Category_ja,Major_Category_ko,Sub_Category_ko,Korean,Japanese,English
Characters,Mystic Square,人妖部門,東方怪綺談,인요부문,동방괴기담,루이즈,ルイズ,Louise
Characters,Mystic Square,人妖部門,東方怪綺談,인요부문,동방괴기담,유키,ユキ,Yuki
Characters,Mystic Square,人妖部門,東方怪綺談,인요부문,동방괴기담,마이,マイ,Mai
Characters,Mystic Square,人妖部門,東方怪綺談,인요부문,동방괴기담,유메코,夢子,Yumeko
Characters,Mystic Square,人妖部門,東方怪綺談,인요부문,동방괴기담,신키,神綺,Shinki
Characters,Dolls in Pseudo Paradise,人妖部門,蓬莱人形,인요부문,봉래인형,자켓소녀,蓬莱人形ジャケットイラストの娘,The girl on the Houral Doll jacket
Characters,Dolls in Pseudo Paradise,人妖部門,蓬莱人形,인요부문,봉래인형,蓬莱人形レーベルイラストの娘,蓬莱人形レーベルイラストの娘,The girl on the Houral Doll label
Characters,Hifuu Club,人妖部門,秘封倶楽部,인요부문,비봉구락부,우사미 렌코,宇佐見 蓮子,Renko Usami
Characters,Hifuu Club,人妖部門,秘封倶楽部,인요부문,비봉구락부,마에리베리 한,マエリベリー・ハーン,Maribel Hearn
Characters,Touhou Gumon (Gensokyo Chronicle),人妖部門,東方求聞史紀,인요부문,동방구문사기 / 동방구문구수,히에다노 아큐,稗田 阿求,Hieda no Akyuu
Characters,Curiosities of Lotus Asia,人妖部門,東方香霖堂,인요부문,동방향림당,모리치카 린노스케,森近 霖之助,Rinnosuke Morichika
Characters,Curiosities of Lotus Asia,人妖部門,東方香霖堂,인요부문,동방향림당,ライカ,ライカ,Laika
Characters,Touhou Sangetsusei,人妖部門,東方三月精,인요부문,동방삼월정,서니 밀크,サニーミルク,Sunny Milk
Characters,Touhou Sangetsusei,人妖部門,東方三月精,인요부문,동방삼월정,루나 차일드,ルナチャイルド,Luna Child
Characters,Touhou Sangetsusei,人妖部門,東方三月精,인요부문,동방삼월정,스타 사파이어,スターサファイア,Star Sapphire
Characters,Touhou Bougetsushou,人妖部門,東方儚月抄,인요부문,동방맹월초,와타츠키노 토요히메,綿月 豊姫,Watatsuki no Toyohime
Characters,Touhou Bougetsushou,人妖部門,東方儚月抄,인요부문,동방맹월초,와타츠키노 요리히메,綿月 依姫,Watatsuki no Yorihime
Characters,Touhou Bougetsushou,人妖部門,東方儚月抄,인요부문,동방맹월초,레이센,レイセン,Reisen
Characters,Wild and Horned Hermit,人妖部門,東方茨歌仙,인요부문,동방자가선,이바라키 카센,茨木 華扇,Kasen Ibaraki
