대분류	소분류	한국어	일본어	영어
音楽部門	東方永夜抄	죽취비상 ~ Lunatic Princess	竹取飛翔　～ Lunatic Princess	Flight of the Bamboo Cutter ~ Lunatic Princess
音楽部門	東方永夜抄	보이지 1970	ヴォヤージュ1970	Voyage 1970
音楽部門	東方永夜抄	익스텐드 애쉬 ~ 봉래인	エクステンドアッシュ　～ 蓬莱人	Extend Ash ~ Person of Hourai
音楽部門	東方永夜抄	달까지 닿아라, 불사의 연기	月まで届け、不死の煙	Reach for the Moon, Immortal Smoke
音楽部門	東方永夜抄	달맞이꽃	月見草	Evening Primrose
音楽部門	東方永夜抄	Eternal Dream ~ 유현의 단풍나무	Eternal Dream　～ 幽玄の槭樹	Eternal Dream ~ Mystical Maple
音楽部門	東方永夜抄	동방요괴소정	東方妖怪小町	Eastern Youkai Beauty
音楽部門	東方萃夢想	췌몽상	萃夢想	Forgathering Dream
音楽部門	東方萃夢想	동방요연담	東方妖恋談	Eastern Mystical Tale of Romance
音楽部門	東方萃夢想	소녀기상곡 ~ Capriccio	少女綺想曲　～ Capriccio	Maiden's Capriccio
音楽部門	東方萃夢想	사랑색 매직	恋色マジック	Love-Colored Magic
音楽部門	東方萃夢想	마녀들의 무도회	魔女達の舞踏会	The Witches' Ball
音楽部門	東方萃夢想	메이드와 피의 회중시계	メイドと血の懐中時計	The Maid and the Pocket Watch of Blood
音楽部門	東方萃夢想	달시계 ~ 루나 다이얼	月時計　～ ルナ・ダイアル	Lunar Clock ~ Luna Dial
音楽部門	東方萃夢想	부쿠레슈티의 인형사	ブクレシュティの人形師	The Doll Maker of Bucuresti
音楽部門	東方萃夢想	인형재판	人形裁判	Doll Judgement
音楽部門	東方萃夢想	락드 걸 ~ 소녀밀실	ラクトガール　～ 少女密室	Locked Girl ~ The Girl's Sealed Room
音楽部門	東方萃夢想	브와르 마법 도서관	ヴワル魔法図書館	Voile, the Magic Library
音楽部門	東方萃夢想	히로아리, 괴조를 쏘다 ~ Till When?	広有射怪鳥事　～ Till When?	Hiroari Shoots a Strange Bird ~ Till When?
